,datetime,sender,recipient
0,2024-01-01 00:45:50.219500,usr-ytk@codecrafters-inc.com,usr-zzy@codecrafters-inc.com
1,2024-01-01 01:36:38.203583,usr-ytk@codecrafters-inc.com,usr-inr@codecrafters-inc.com
2,2024-01-01 01:55:43.060712,usr-ecc@codecrafters-inc.com,usr-qpv@codecrafters-inc.com
3,2024-01-01 02:16:59.403911,usr-ytk@codecrafters-inc.com,usr-lrw@codecrafters-inc.com
4,2024-01-01 02:25:48.400337,usr-ecc@codecrafters-inc.com,usr-gxa@codecrafters-inc.com
5,2024-01-01 02:27:23.057650,usr-ecc@codecrafters-inc.com,usr-pcx@codecrafters-inc.com
6,2024-01-01 03:12:44.658206,usr-pru@codecrafters-inc.com,usr-pru@codecrafters-inc.com
7,2024-01-01 03:17:00.960817,usr-ecc@codecrafters-inc.com,usr-hxw@codecrafters-inc.com
8,2024-01-01 03:36:27.501868,usr-pru@codecrafters-inc.com,usr-lxb@codecrafters-inc.com
9,2024-01-01 03:52:12.180940,usr-ifd@codecrafters-inc.com,usr-zzy@codecrafters-inc.com
10,2024-01-01 03:56:31.153955,usr-pru@codecrafters-inc.com,usr-okv@codecrafters-inc.com
11,2024-01-01 04:05:14.957828,usr-okv@codecrafters-inc.com,usr-fxu@codecrafters-inc.com
12,2024-01-01 04:11:02.088716,usr-ubt@codecrafters-inc.com,usr-ytk@codecrafters-inc.com
13,2024-01-01 04:13:22.841265,usr-mdm@codecrafters-inc.com,usr-agf@codecrafters-inc.com
14,2024-01-01 04:16:58.591410,usr-ifd@codecrafters-inc.com,usr-cnz@codecrafters-inc.com
15,2024-01-01 04:23:48.616779,usr-ifd@codecrafters-inc.com,usr-oux@codecrafters-inc.com
16,2024-01-01 04:24:17.878574,usr-yih@codecrafters-inc.com,usr-kos@codecrafters-inc.com
17,2024-01-01 04:28:48.930045,usr-ubt@codecrafters-inc.com,usr-fxu@codecrafters-inc.com
18,2024-01-01 04:30:33.619751,usr-mdm@codecrafters-inc.com,usr-xye@codecrafters-inc.com
19,2024-01-01 04:33:17.487195,usr-mdm@codecrafters-inc.com,usr-inx@codecrafters-inc.com
20,2024-01-01 04:36:39.477381,usr-ubt@codecrafters-inc.com,usr-ubt@codecrafters-inc.com
21,2024-01-01 04:39:33.450346,usr-hth@codecrafters-inc.com,usr-gai@codecrafters-inc.com
22,2024-01-01 04:40:42.315663,usr-mdm@codecrafters-inc.com,usr-xye@codecrafters-inc.com
23,2024-01-01 04:44:18.674518,usr-mdm@codecrafters-inc.com,usr-agf@codecrafters-inc.com
24,2024-01-01 04:46:20.482630,usr-yih@codecrafters-inc.com,usr-kos@codecrafters-inc.com
25,2024-01-01 04:48:32.454852,usr-zzy@codecrafters-inc.com,usr-zzy@codecrafters-inc.com
26,2024-01-01 04:53:26.947429,usr-zzy@codecrafters-inc.com,usr-ubt@codecrafters-inc.com
27,2024-01-01 04:59:57.967858,usr-zzy@codecrafters-inc.com,usr-ytk@codecrafters-inc.com
28,2024-01-01 05:00:08.619572,usr-ubt@codecrafters-inc.com,usr-pru@codecrafters-inc.com
29,2024-01-01 05:00:46.248185,usr-ecc@codecrafters-inc.com,usr-oux@codecrafters-inc.com
30,2024-01-01 05:05:07.030319,usr-inx@codecrafters-inc.com,usr-mdm@codecrafters-inc.com
31,2024-01-01 05:06:23.856262,usr-mdm@codecrafters-inc.com,usr-mdm@codecrafters-inc.com
32,2024-01-01 05:07:05.052477,usr-inx@codecrafters-inc.com,usr-xye@codecrafters-inc.com
33,2024-01-01 05:10:06.241892,usr-inx@codecrafters-inc.com,usr-cwi@codecrafters-inc.com
34,2024-01-01 05:11:03.091342,usr-zzy@codecrafters-inc.com,usr-jmc@codecrafters-inc.com
35,2024-01-01 05:11:55.727052,usr-inx@codecrafters-inc.com,usr-agf@codecrafters-inc.com
36,2024-01-01 05:12:03.587123,usr-mdm@codecrafters-inc.com,usr-hxw@codecrafters-inc.com
37,2024-01-01 05:13:59.424851,usr-mdm@codecrafters-inc.com,usr-wis@codecrafters-inc.com
38,2024-01-01 05:17:15.003135,usr-kos@codecrafters-inc.com,usr-pah@codecrafters-inc.com
39,2024-01-01 05:18:56.549809,usr-zzy@codecrafters-inc.com,usr-dbq@codecrafters-inc.com
40,2024-01-01 05:19:25.415111,usr-inx@codecrafters-inc.com,usr-fdo@codecrafters-inc.com
